Food code,Main food description,Food description
71103050,"Potato, boiled, from fresh, peel not eaten, made with margarine","The image shows the food category of potato, boiled, from fresh, peel not eaten, made with margarine. Additional details include steamer bags; steamed potato not specified subcategory as to plain or flavored; not specified subcategory as to peel eaten; made with shortening."
71103105,"Potato, boiled, from fresh, peel eaten, not specified subcategory as to fat","The image shows the food category of potato, boiled, from fresh, peel eaten, not specified subcategory as to fat. Additional details include steamer bags; steamed potato not specified subcategory as to plain or flavored."
71103115,"Potato, boiled, from fresh, peel eaten, fat added, not specified subcategory as to fat type","The image shows the food category of potato, boiled, from fresh, peel eaten, fat added, not specified subcategory as to fat type. Additional details include steamer bags; steamed potato not specified subcategory as to plain or flavored."
71103125,"Potato, boiled, from fresh,  peel eaten, no added fat","The image shows the food category of potato, boiled, from fresh,  peel eaten, no added fat. Additional details include steamer bags; steamed potato not specified subcategory as to plain or flavored; made with cooking spray."
71103135,"Potato, boiled, from fresh, peel eaten, made with oil","The image shows the food category of potato, boiled, from fresh, peel eaten, made with oil. Additional details include steamer bags; steamed potato not specified subcategory as to plain or flavored."
71103140,"Potato, boiled, from fresh, peel eaten, made with butter","The image shows the food category of potato, boiled, from fresh, peel eaten, made with butter. Additional details include steamer bags; steamed potato not specified subcategory as to plain or flavored; made with animal fat or meat drippings."
71103150,"Potato, boiled, from fresh, peel eaten, made with margarine","The image shows the food category of potato, boiled, from fresh, peel eaten, made with margarine. Additional details include steamer bags; steamed potato not specified subcategory as to plain or flavored; made with shortening."
71103300,"Potato, canned, not specified subcategory as to fat","The image shows the food category of potato, canned, not specified subcategory as to fat. Additional details include boiled; roasted; stewed."
71103310,"Potato, canned, fat added, not specified subcategory as to fat type","The image shows the food category of potato, canned, fat added, not specified subcategory as to fat type. Additional details include boiled; roasted; stewed."
71103320,"Potato, canned, no added fat","The image shows the food category of potato, canned, no added fat. Additional details include made with cooking spray; boiled; roasted; stewed."
71104030,"Potato, roasted, not further specified subcategory assigned","The image shows the food category of potato, roasted, not further specified subcategory assigned. Additional details include grilled."
71104040,"Potato, roasted, from fresh, peel eaten, not specified subcategory as to fat","The image shows the food category of potato, roasted, from fresh, peel eaten, not specified subcategory as to fat. Additional details include grilled."
71104050,"Potato, roasted, from fresh, peel eaten, no added fat","The image shows the food category of potato, roasted, from fresh, peel eaten, no added fat. Additional details include grilled; made with cooking spray."
71104060,"Potato, roasted, from fresh, peel eaten, fat added, not specified subcategory as to fat type","The image shows the food category of potato, roasted, from fresh, peel eaten, fat added, not specified subcategory as to fat type. Additional details include grilled."
71104070,"Potato, roasted, from fresh, peel eaten, made with oil","The image shows the food category of potato, roasted, from fresh, peel eaten, made with oil. Additional details include grilled."
71104080,"Potato, roasted, from fresh, peel eaten, made with butter","The image shows the food category of potato, roasted, from fresh, peel eaten, made with butter. Additional details include grilled; made with animal fat or meat drippings."
71104090,"Potato, roasted, from fresh, peel eaten, made with margarine","The image shows the food category of potato, roasted, from fresh, peel eaten, made with margarine. Additional details include grilled; made with shortening."
71104100,"Potato, roasted, from fresh, peel not eaten, not specified subcategory as to fat","The image shows the food category of potato, roasted, from fresh, peel not eaten, not specified subcategory as to fat. Additional details include grilled; not specified subcategory as to peel eaten."
71104110,"Potato, roasted, from fresh, peel not eaten, fat added, not specified subcategory as to fat type","The image shows the food category of potato, roasted, from fresh, peel not eaten, fat added, not specified subcategory as to fat type. Additional details include grilled; not specified subcategory as to peel eaten."
71104120,"Potato, roasted, from fresh, peel not eaten, no added fat","The image shows the food category of potato, roasted, from fresh, peel not eaten, no added fat. Additional details include grilled; not specified subcategory as to peel eaten; made with cooking spray."
71104130,"Potato, roasted, from fresh, peel not eaten, made with oil","The image shows the food category of potato, roasted, from fresh, peel not eaten, made with oil. Additional details include grilled."
71104140,"Potato, roasted, from fresh, peel not eaten, made with butter","The image shows the food category of potato, roasted, from fresh, peel not eaten, made with butter. Additional details include grilled; made with animal fat or meat drippings."
71104150,"Potato, roasted, from fresh, peel not eaten, made with margarine","The image shows the food category of potato, roasted, from fresh, peel not eaten, made with margarine. Additional details include grilled; made with shortening."
71104200,"Potato, roasted, ready-to-heat","The image shows the food category of potato, roasted, ready-to-heat. Additional details include frozen; with or without peel; with or without fat added."
71106000,"Stewed potatoes, Puerto Rican style","The image shows the food category of stewed potatoes, Puerto Rican style. Additional details include papas guisadas."
71106010,"Potato only from Puerto Rican mixed dishes, gravy and other components reported separately","The image shows the food category of potato only from Puerto Rican mixed dishes, gravy and other components reported separately. Additional details include papas hervidas."
71106020,"Potato from Puerto Rican style stuffed pot roast, with gravy","The image shows the food category of potato from Puerto Rican style stuffed pot roast, with gravy."
71106050,"Potato from Puerto Rican beef stew, with gravy","The image shows the food category of potato from Puerto Rican beef stew, with gravy."
71106070,"Potato from Puerto Rican chicken fricassee, with sauce","The image shows the food category of potato from Puerto Rican chicken fricassee, with sauce."
71200010,"Potato chips, not further specified subcategory assigned","The image shows the food category of potato chips, not further specified subcategory assigned. Additional details include chips, not further specified subcategory assigned."
71200100,"Potato chips, plain","The image shows the food category of potato chips, plain. Additional details include regular or kettle cut; salted; original; not specified subcategory as to flavor; not specified subcategory as to regular or ruffled."
71200110,"Potato chips, barbecue flavored","The image shows the food category of potato chips, barbecue flavored. Additional details include regular or kettle cut; barbecue flavor."
71200120,"Potato chips, sour cream and onion flavored","The image shows the food category of potato chips, sour cream and onion flavored. Additional details include regular or kettle cut."
71200130,"Potato chips, cheese flavored","The image shows the food category of potato chips, cheese flavored. Additional details include regular or kettle cut."
71200140,"Potato chips, other flavored","The image shows the food category of potato chips, other flavored. Additional details include regular or kettle cut; all flavors other than barbecue, sour cream and onion, or cheese; flavored, not further specified subcategory assigned."
71200200,"Potato chips, ruffled, plain","The image shows the food category of potato chips, ruffled, plain. Additional details include salted; original; wavy chips; not specified subcategory as to flavor."
71200210,"Potato chips, ruffled, barbecue flavored","The image shows the food category of potato chips, ruffled, barbecue flavored. Additional details include wavy chips."
71200220,"Potato chips, ruffled, sour cream and onion flavored","The image shows the food category of potato chips, ruffled, sour cream and onion flavored. Additional details include wavy chips."
71200230,"Potato chips, ruffled, cheese flavored","The image shows the food category of potato chips, ruffled, cheese flavored. Additional details include wavy chips."
71200240,"Potato chips, ruffled, other flavored","The image shows the food category of potato chips, ruffled, other flavored. Additional details include all flavors other than barbecue, sour cream and onion, or cheese; wavy chips; ruffled, flavored, not further specified subcategory assigned."
71200300,"Potato chips, restructured, plain","The image shows the food category of potato chips, restructured, plain. Additional details include pringles Original; potato crisps; salted; original; potato skin chips."
71200310,"Potato chips, restructured, flavored","The image shows the food category of potato chips, restructured, flavored. Additional details include flavored Pringles; potato crisps; all flavors; potato skin chips."
71200400,"Potato chips, baked, plain","The image shows the food category of potato chips, baked, plain. Additional details include salted; original; any cut; baked kettle chips; potato crisps."
71200410,"Potato chips, baked, flavored","The image shows the food category of potato chips, baked, flavored. Additional details include all flavors; any cut; baked kettle chips; potato crisps."
71201050,"Potato chips, reduced fat","The image shows the food category of potato chips, reduced fat. Additional details include salted; any cut; low or fat free."
71201200,"Potato chips, restructured, reduced fat, lightly salted","The image shows the food category of potato chips, restructured, reduced fat, lightly salted. Additional details include potato crisps; Pringles; reduced sodium; unsalted; low or fat free."
71202000,"Potato chips, unsalted","The image shows the food category of potato chips, unsalted. Additional details include any cut."
71202500,"Potato chips, lightly salted","The image shows the food category of potato chips, lightly salted. Additional details include reduced sodium; any cut."
71202510,"Potato chips, restructured, lightly salted","The image shows the food category of potato chips, restructured, lightly salted. Additional details include lightly salted Pringles; potato crisps; reduced sodium."
71203010,"Potato chips, popped, plain","The image shows the food category of potato chips, popped, plain. Additional details include original; salted; plain popped chips."
71203020,"Potato chips, popped, flavored","The image shows the food category of potato chips, popped, flavored. Additional details include all flavors; flavored popped chips."
71203030,"Potato chips, popped, not further specified subcategory assigned","The image shows the food category of potato chips, popped, not further specified subcategory assigned. Additional details include popped chips, not further specified subcategory assigned."
71205020,"Potato sticks, plain","The image shows the food category of potato sticks, plain. Additional details include shoestrings; original."
71205030,"Potato sticks, flavored","The image shows the food category of potato sticks, flavored. Additional details include shoestrings; all flavors."
71205040,"Potato sticks, fry shaped","The image shows the food category of potato sticks, fry shaped. Additional details include corn and potato ""fries""; all flavors; Hot Fries; barbecue ""fries""; Cheddar ""fries""."
71220000,Vegetable chips,The image shows the food category of vegetable chips. Additional details include veggie chips; Eat smart; vegetable puffs; vegetable sticks; veggie straws; veggie crisp; Terra; all flavors excluding sweet potato; snap pea crisps.
71305015,"Potato, scalloped, not further specified subcategory assigned","The image shows the food category of potato, scalloped, not further specified subcategory assigned. Additional details include au gratin; creamed."
71305020,"Potato, scalloped, from fast food or restaurant","The image shows the food category of potato, scalloped, from fast food or restaurant. Additional details include au gratin; creamed."
71305030,"Potato, scalloped, from fresh","The image shows the food category of potato, scalloped, from fresh. Additional details include au gratin; creamed; with or without cheese."
71305040,"Potato, scalloped, from fresh, with meat","The image shows the food category of potato, scalloped, from fresh, with meat. Additional details include au gratin; creamed; with or without cheese."
71305050,"Potato, scalloped, from dry mix","The image shows the food category of potato, scalloped, from dry mix. Additional details include au gratin; creamed; with or without cheese."
71305060,"Potato, scalloped, from dry mix, with meat","The image shows the food category of potato, scalloped, from dry mix, with meat. Additional details include au gratin; creamed; with or without cheese."
71305070,"Potato, scalloped, ready-to-heat","The image shows the food category of potato, scalloped, ready-to-heat. Additional details include au gratin; creamed; with or without cheese; refrigerated; microwaveable; frozen; from school."
71305080,"Potato, scalloped, ready-to-heat, with meat","The image shows the food category of potato, scalloped, ready-to-heat, with meat. Additional details include au gratin; creamed; with or without cheese; refrigerated; microwaveable; frozen; from school."
71400990,"Potato, french fries, not further specified subcategory assigned","The image shows the food category of potato, french fries, not further specified subcategory assigned."
71401000,"Potato, french fries, not specified subcategory as to fresh or frozen","The image shows the food category of potato, french fries, not specified subcategory as to fresh or frozen. Additional details include other place; home or store; not specified subcategory as to fried or baked."
71401010,"Potato, french fries, from fresh, fried","The image shows the food category of potato, french fries, from fresh, fried. Additional details include home or store."
71401015,"Potato, french fries, from fresh, baked","The image shows the food category of potato, french fries, from fresh, baked. Additional details include home or store."
71401020,"Potato, french fries, from frozen, baked","The image shows the food category of potato, french fries, from frozen, baked. Additional details include home or store."
71401030,"Potato, french fries, fast food","The image shows the food category of potato, french fries, fast food."
71401031,"Potato, french fries, restaurant","The image shows the food category of potato, french fries, restaurant. Additional details include other place."
71401032,"Potato, french fries, from frozen, fried","The image shows the food category of potato, french fries, from frozen, fried. Additional details include home or store."
71401033,"Potato, french fries, school","The image shows the food category of potato, french fries, school."
71401039,"Potato, french fries, with cheese, fast food / restaurant","The image shows the food category of potato, french fries, with cheese, fast food / restaurant. Additional details include other place."
71401041,"Potato, french fries, with cheese, school","The image shows the food category of potato, french fries, with cheese, school. Additional details include with chili; with chili and cheese."
71401045,"Potato, french fries, with chili, fast food / restaurant","The image shows the food category of potato, french fries, with chili, fast food / restaurant. Additional details include other place."
71401050,"Potato, french fries, with chili and cheese, fast food / restaurant","The image shows the food category of potato, french fries, with chili and cheese, fast food / restaurant. Additional details include other place; chili with cheese."
71402500,"Potato, french fries, with cheese","The image shows the food category of potato, french fries, with cheese. Additional details include fresh or frozen; fried or baked; home or store."
71402510,"Potato, french fries, with chili and cheese","The image shows the food category of potato, french fries, with chili and cheese. Additional details include fresh or frozen; fried or baked; home or store."
71402520,"Potato, french fries, with chili","The image shows the food category of potato, french fries, with chili. Additional details include fresh or frozen; fried or baked; home or store."
71403020,"Potato, home fries, not further specified subcategory assigned","The image shows the food category of potato, home fries, not further specified subcategory assigned."
71403030,"Potato, home fries, from restaurant / fast food","The image shows the food category of potato, home fries, from restaurant / fast food."
71403040,"Potato, home fries, from fresh","The image shows the food category of potato, home fries, from fresh. Additional details include cottage style; fried; German fried."
71403050,"Potato, home fries, ready-to-heat","The image shows the food category of potato, home fries, ready-to-heat. Additional details include refrigerated; microwavable; frozen; dry mix; from school."
71403500,"Potato, home fries, with vegetables","The image shows the food category of potato, home fries, with vegetables. Additional details include potatoes O'Brien; green or red peppers and onions."
71404000,"Potato, hash brown, not further specified subcategory assigned","The image shows the food category of potato, hash brown, not further specified subcategory assigned."
71404010,"Potato, hash brown, from fast food","The image shows the food category of potato, hash brown, from fast food."
71404020,"Potato, hash brown, from fast food, with cheese","The image shows the food category of potato, hash brown, from fast food, with cheese."
71404030,"Potato, hash brown, from restaurant","The image shows the food category of potato, hash brown, from restaurant."
71404040,"Potato, hash brown, from restaurant, with cheese","The image shows the food category of potato, hash brown, from restaurant, with cheese."
71404050,"Potato, hash brown, from school lunch","The image shows the food category of potato, hash brown, from school lunch. Additional details include home fries; with or without cheese."
71405010,"Potato, hash brown, from fresh","The image shows the food category of potato, hash brown, from fresh."
71405019,"Potato, hash brown, from fresh, with cheese","The image shows the food category of potato, hash brown, from fresh, with cheese."
71405030,"Potato, hash brown, from dry mix","The image shows the food category of potato, hash brown, from dry mix. Additional details include with or without cheese."
71405040,"Potato, hash brown, ready-to-heat","The image shows the food category of potato, hash brown, ready-to-heat. Additional details include refrigerated; microwavable; frozen."
71405050,"Potato, hash brown, ready-to-heat, with cheese","The image shows the food category of potato, hash brown, ready-to-heat, with cheese. Additional details include refrigerated; microwavable; frozen."
71410000,Potato skins without topping,The image shows the food category of potato skins without topping.
71410500,"Potato skins, with cheese","The image shows the food category of potato skins, with cheese. Additional details include sour cream; salsa."
71411000,"Potato skins, with cheese and bacon","The image shows the food category of potato skins, with cheese and bacon. Additional details include sour cream; salsa."
71411100,"Potato skins, not further specified subcategory assigned","The image shows the food category of potato skins, not further specified subcategory assigned."
71501000,"Potato, mashed, not further specified subcategory assigned","The image shows the food category of potato, mashed, not further specified subcategory assigned."
71501005,"Potato, mashed, from fast food","The image shows the food category of potato, mashed, from fast food."
71501006,"Potato, mashed, from fast food, with gravy","The image shows the food category of potato, mashed, from fast food, with gravy."
71501007,"Potato, mashed, ready-to-heat","The image shows the food category of potato, mashed, ready-to-heat. Additional details include refrigerated; microwavable; frozen."
71501010,"Potato, mashed, from fresh, made with milk","The image shows the food category of potato, mashed, from fresh, made with milk. Additional details include with water; sour cream; cream."
71501011,"Potato, mashed, from fresh, made with milk, with cheese","The image shows the food category of potato, mashed, from fresh, made with milk, with cheese. Additional details include with water; sour cream; cream."
71501012,"Potato, mashed, from fresh, made with milk, with gravy","The image shows the food category of potato, mashed, from fresh, made with milk, with gravy. Additional details include with water; cheese; sour cream; cream."
71501013,"Potato, mashed, from fresh, not further specified subcategory assigned","The image shows the food category of potato, mashed, from fresh, not further specified subcategory assigned."
71501016,"Potato, mashed, from restaurant","The image shows the food category of potato, mashed, from restaurant."
71501017,"Potato, mashed, from restaurant, with gravy","The image shows the food category of potato, mashed, from restaurant, with gravy."
71501018,"Potato, mashed, from school lunch","The image shows the food category of potato, mashed, from school lunch. Additional details include with gravy."
71501035,"Potato, mashed, from dry mix, not further specified subcategory assigned","The image shows the food category of potato, mashed, from dry mix, not further specified subcategory assigned."
71501040,"Potato, mashed, from dry mix, made with milk","The image shows the food category of potato, mashed, from dry mix, made with milk. Additional details include with water; sour cream; cream."
71501045,"Potato, mashed, from dry mix, made with milk, with cheese","The image shows the food category of potato, mashed, from dry mix, made with milk, with cheese. Additional details include with water; sour cream; cream."
71501054,"Potato, mashed, from dry mix, made with milk, with gravy","The image shows the food category of potato, mashed, from dry mix, made with milk, with gravy. Additional details include with water; cheese; sour cream; cream."
71501061,"Potato, mashed, ready-to-heat, not further specified subcategory assigned","The image shows the food category of potato, mashed, ready-to-heat, not further specified subcategory assigned. Additional details include refrigerated, microwavable, frozen."
71501071,"Potato, mashed, ready-to-heat, with cheese","The image shows the food category of potato, mashed, ready-to-heat, with cheese. Additional details include refrigerated; microwavable; frozen; cream; sour cream."
71501075,"Potato, mashed, ready-to-heat, with gravy","The image shows the food category of potato, mashed, ready-to-heat, with gravy. Additional details include with cheese; cream; sour cream; refrigerated, microwavable, frozen."
71503010,Potato patty,The image shows the food category of potato patty. Additional details include potato croquettes; potato cake.
71505000,"Potato tots, not further specified subcategory assigned","The image shows the food category of potato tots, not further specified subcategory assigned. Additional details include tater tots; potato puffs."
71505010,"Potato tots, fast food / restaurant","The image shows the food category of potato tots, fast food / restaurant. Additional details include tater tots; potato puffs; other place."
71505020,"Potato tots, school","The image shows the food category of potato tots, school. Additional details include tater tots; potato puffs."
71505030,"Potato tots, from fresh, fried or baked","The image shows the food category of potato tots, from fresh, fried or baked. Additional details include home or store; tater tots; potato puffs."
71505040,"Potato tots, frozen, baked","The image shows the food category of potato tots, frozen, baked. Additional details include home or store; tater tots; potato puffs."
71505050,"Potato tots, frozen, fried","The image shows the food category of potato tots, frozen, fried. Additional details include home or store; tater tots; potato puffs."
71505060,"Potato tots, frozen, not specified subcategory as to fried or baked","The image shows the food category of potato tots, frozen, not specified subcategory as to fried or baked. Additional details include home or store; tater tots; crispy crowns; potato puffs; not specified subcategory as to fresh or frozen."
71507005,"Potato, baked, peel not eaten, with butter","The image shows the food category of potato, baked, peel not eaten, with butter. Additional details include not specified subcategory as to peel eaten; margarine; twice baked; stuffed."
71507010,"Potato, baked, peel not eaten, with sour cream","The image shows the food category of potato, baked, peel not eaten, with sour cream. Additional details include not specified subcategory as to peel eaten; butter or margarine; twice baked; stuffed."
71507020,"Potato, baked, peel not eaten, with cheese","The image shows the food category of potato, baked, peel not eaten, with cheese. Additional details include not specified subcategory as to peel eaten; cream cheese; cheese sauce; sour cream; butter or margarine; twice baked; stuffed."
71507025,"Potato, baked, peel not eaten, with meat","The image shows the food category of potato, baked, peel not eaten, with meat. Additional details include not specified subcategory as to peel eaten; bacon; chicken; ham; cheese; cream cheese; cheese sauce; sour cream; butter or margarine; twice baked; stuffed."
71507030,"Potato, baked, peel not eaten, with chili","The image shows the food category of potato, baked, peel not eaten, with chili. Additional details include not specified subcategory as to peel eaten; cheese sauce; sour cream; butter or margarine; twice baked; stuffed; cheese; cream cheese."
71507035,"Potato, baked, peel not eaten, with vegetables","The image shows the food category of potato, baked, peel not eaten, with vegetables. Additional details include not specified subcategory as to peel eaten; broccoli; cheese; cream cheese; cheese sauce; sour cream; butter or margarine; twice baked; stuffed."
71508001,"Potato, baked, peel eaten","The image shows the food category of potato, baked, peel eaten."
71508005,"Potato, baked, peel eaten, with butter","The image shows the food category of potato, baked, peel eaten, with butter. Additional details include margarine; twice baked; stuffed."
71508010,"Potato, baked, peel eaten, with sour cream","The image shows the food category of potato, baked, peel eaten, with sour cream. Additional details include butter or margarine; twice baked; stuffed."
71508020,"Potato, baked, peel eaten, with cheese","The image shows the food category of potato, baked, peel eaten, with cheese. Additional details include cream cheese; cheese sauce; sour cream; butter or margarine; twice baked; stuffed."
71508025,"Potato, baked, peel eaten, with meat","The image shows the food category of potato, baked, peel eaten, with meat. Additional details include bacon; chicken; ham; cheese; cream cheese; cheese sauce; sour cream; butter or margarine; twice baked; stuffed."
71508030,"Potato, baked, peel eaten, with chili","The image shows the food category of potato, baked, peel eaten, with chili. Additional details include cheese sauce; sour cream; butter or margarine; twice baked; stuffed; cheese; cream cheese."
71508035,"Potato, baked, peel eaten, with vegetables","The image shows the food category of potato, baked, peel eaten, with vegetables. Additional details include broccoli; cheese; cream cheese; cheese sauce; sour cream; butter or margarine; twice baked; stuffed."
71600950,"Potato salad with egg, from restaurant","The image shows the food category of potato salad with egg, from restaurant. Additional details include fast food / other place."
71601010,"Potato salad with egg, made with mayonnaise","The image shows the food category of potato salad with egg, made with mayonnaise. Additional details include not specified subcategory as to type of dressing."
71601015,"Potato salad with egg, made with light mayonnaise","The image shows the food category of potato salad with egg, made with light mayonnaise. Additional details include diet, low calorie, low fat, reduced calorie, or reduced fat dressing."
71601020,"Potato salad with egg, made with mayonnaise-type salad dressing","The image shows the food category of potato salad with egg, made with mayonnaise-type salad dressing. Additional details include miracle Whip; imitation mayonnaise; coleslaw dressing; ""slaw"" dressing."
71601025,"Potato salad with egg, made with light mayonnaise-type salad dressing","The image shows the food category of potato salad with egg, made with light mayonnaise-type salad dressing. Additional details include diet, low calorie, low fat, reduced calorie, or reduced fat dressing; Miracle Whip Light; light coleslaw dressing; light ""slaw"" dressing; light imitation mayonnaise; Hellmann's Dijonnaise."
71601030,"Potato salad with egg, made with creamy dressing","The image shows the food category of potato salad with egg, made with creamy dressing. Additional details include ranch dressing; ranch dip; peppercorn dressing; creamy Italian; French made with sour cream; creamy bacon dressing; creamy parmesan; cream cheese dressing; sour cream; blue cheese or roquefort cheese dressing; caesar dressing."
71601035,"Potato salad with egg, made with light creamy dressing","The image shows the food category of potato salad with egg, made with light creamy dressing. Additional details include diet, low calorie, low fat, reduced calorie, or reduced fat dressing; light ranch dressing; light ranch dip; light peppercorn dressing; light creamy Italian; light French made with sour cream; light creamy bacon dressing; light caesar dressing; light cream cheese dressing; light sour cream; light blue or roquefort cheese dressing; light creamy parmesan."
71601040,"Potato salad with egg, made with Italian dressing","The image shows the food category of potato salad with egg, made with Italian dressing. Additional details include vinegar and oil; vinaigrette; Greek dressing; Champagne dressing; celery seed dressing; onion or Vidalia onion dressing; red wine, balsamic, or raspberry vinegar dressing; French dressing."
71601045,"Potato salad with egg, made with light Italian dressing","The image shows the food category of potato salad with egg, made with light Italian dressing. Additional details include diet, low calorie, low fat, reduced calorie, or reduced fat dressing; Newman's Own Light; light vinaigrette; light Greek dressing; light onion or Vidalia onion dressing; light Champagne dressing; light celery seed dressing."
71601050,"Potato salad with egg, made with any type of fat free dressing","The image shows the food category of potato salad with egg, made with any type of fat free dressing. Additional details include fat free mayonnaise; fat free mayonnaise-type salad dressing; fat free Italian dressing; any fat free creamy dressing; fat free vinaigrette; with no dressing."
71602010,"Potato salad, German style","The image shows the food category of potato salad, German style."
71602950,"Potato salad, from restaurant","The image shows the food category of potato salad, from restaurant. Additional details include fast food / other place."
71603010,"Potato salad, made with mayonnaise","The image shows the food category of potato salad, made with mayonnaise. Additional details include not specified subcategory as to type of dressing."
71603015,"Potato salad, made with light mayonnaise","The image shows the food category of potato salad, made with light mayonnaise. Additional details include diet, low calorie, low fat, reduced calorie, or reduced fat dressing."
71603020,"Potato salad, made with mayonnaise-type salad dressing","The image shows the food category of potato salad, made with mayonnaise-type salad dressing. Additional details include miracle Whip; imitation mayonnaise; coleslaw dressing; ""slaw"" dressing."
71603025,"Potato salad, made with light mayonnaise-type salad dressing","The image shows the food category of potato salad, made with light mayonnaise-type salad dressing. Additional details include diet, low calorie, low fat, reduced calorie, or reduced fat dressing; Miracle Whip Light; light imitation mayonnaise; light coleslaw dressing; light ""slaw"" dressing; Hellmann's Dijonnaise."
71603030,"Potato salad, made with creamy dressing","The image shows the food category of potato salad, made with creamy dressing. Additional details include ranch dressing; ranch dip; peppercorn dressing; creamy Italian; French made with sour cream; creamy bacon dressing; creamy parmesan; cream cheese dressing; sour cream; blue cheese or roquefort cheese dressing; caesar dressing."
71603035,"Potato salad, made with light creamy dressing","The image shows the food category of potato salad, made with light creamy dressing. Additional details include diet, low calorie, low fat, reduced calorie, or reduced fat dressing; light ranch dressing; light ranch dip; light blue or roquefort cheese dressing; light caesar dressing; light peppercorn dressing; light creamy Italian; light French made with sour cream; light creamy bacon dressing; light creamy parmesan; light cream cheese dressing; light sour cream."
71603040,"Potato salad, made with Italian dressing","The image shows the food category of potato salad, made with Italian dressing. Additional details include vinegar and oil; vinaigrette; Greek dressing; onion or Vidalia onion dressing; Champagne dressing; celery seed dressing; red wine, balsamic, or raspberry vinegar dressing."
71603045,"Potato salad, made with light Italian dressing","The image shows the food category of potato salad, made with light Italian dressing. Additional details include diet, low calorie, low fat, reduced calorie, or reduced fat dressing; Newman's Own Light; light vinaigrette; light Greek dressing; light onion or Vidalia onion dressing; light Champagne dressing; light celery seed dressing."
71603050,"Potato salad, made with any type of fat free dressing","The image shows the food category of potato salad, made with any type of fat free dressing. Additional details include fat free mayonnaise; fat free mayonnaise-type salad dressing; fat free Italian dressing; any fat free creamy dressing; fat free vinaigrette; with no dressing."
71701000,Potato pancake,The image shows the food category of potato pancake. Additional details include latkes.
71701500,Lefse,The image shows the food category of lefse. Additional details include norwegian potato and flour pancake.
71703990,Stewed potatoes,The image shows the food category of stewed potatoes. Additional details include papas guisadas; with or with out peel; with or without fat added.
71704000,Stewed potatoes with tomatoes,The image shows the food category of stewed potatoes with tomatoes. Additional details include mexican style; papas guisadas con tomate; with or without peel eaten; with or without fat.
71801000,"Potato soup, not specified subcategory as to made with milk or water","The image shows the food category of potato soup, not specified subcategory as to made with milk or water. Additional details include with macaroni."
71801010,"Potato soup, cream of, prepared with milk","The image shows the food category of potato soup, cream of, prepared with milk. Additional details include vichyssoise soup; with macaroni."
71801020,"Potato soup, prepared with water","The image shows the food category of potato soup, prepared with water. Additional details include with macaroni."
71801100,Potato and cheese soup,The image shows the food category of potato and cheese soup.
71803010,Potato chowder,The image shows the food category of potato chowder. Additional details include corn chowder.
71851010,"Plantain soup, Puerto Rican style","The image shows the food category of plantain soup, Puerto Rican style. Additional details include sopa de platano."
71900100,"Plantain, cooked, no added fat","The image shows the food category of plantain, cooked, no added fat. Additional details include cooking spray."
71900200,"Plantain, cooked with oil","The image shows the food category of plantain, cooked with oil. Additional details include fried plantains; tostones; plantain, not further specified subcategory assigned; from restaurant."
71905000,"Ripe plantain, raw","The image shows the food category of ripe plantain, raw."
71905008,"Plantain, cooked, fat added, not specified subcategory as to fat type","The image shows the food category of plantain, cooked, fat added, not specified subcategory as to fat type. Additional details include not specified subcategory as to fat added."
71905100,"Plantain, cooked with butter or margarine","The image shows the food category of plantain, cooked with butter or margarine. Additional details include animal fat; shortening."
71905410,Plantain chips,The image shows the food category of plantain chips.
71910110,"Green banana, cooked in salt water","The image shows the food category of green banana, cooked in salt water."
71910210,"Green banana, fried","The image shows the food category of green banana, fried."
71930120,"Cassava, cooked","The image shows the food category of cassava, cooked. Additional details include yuca blanca; with or without fat."
71930190,Yuca fries,The image shows the food category of yuca fries.
71930200,"Casabe, cassava bread","The image shows the food category of casabe, cassava bread."
71962020,"Dasheen, cooked","The image shows the food category of dasheen, cooked. Additional details include malanga; with or without fat."
71962040,"Taro, cooked","The image shows the food category of taro, cooked. Additional details include with or without fat."
71970200,Fufu,The image shows the food category of fufu. Additional details include african dish.
71980200,Taro chips,The image shows the food category of taro chips.
72101100,"Beet greens, raw","The image shows the food category of beet greens, raw."
72101220,"Beet greens, cooked","The image shows the food category of beet greens, cooked. Additional details include with or without fat."
72103000,"Broccoli raab, raw","The image shows the food category of broccoli raab, raw. Additional details include broccoli rabe, raap, or rapini; broccolini."
72103030,"Broccoli raab, cooked","The image shows the food category of broccoli raab, cooked. Additional details include broccoli rabe, raap, or rapini; with or without fat; broccolini."
72104100,"Chard, raw","The image shows the food category of chard, raw."
72104220,"Chard, cooked","The image shows the food category of chard, cooked. Additional details include with or without fat."
72107100,"Collards, raw","The image shows the food category of collards, raw. Additional details include collard greens."
72107211,"Collards, fresh, cooked, no added fat","The image shows the food category of collards, fresh, cooked, no added fat. Additional details include collard greens; cooking spray."
72107212,"Collards, frozen, cooked, no added fat","The image shows the food category of collards, frozen, cooked, no added fat. Additional details include collard greens; cooking spray."
72107213,"Collards, canned, cooked, no added fat","The image shows the food category of collards, canned, cooked, no added fat. Additional details include collard greens; cooking spray."
72107220,"Collards, not specified subcategory as to form, cooked","The image shows the food category of collards, not specified subcategory as to form, cooked. Additional details include with or without fat."
72107221,"Collards, fresh, cooked, fat added, not specified subcategory as to fat type","The image shows the food category of collards, fresh, cooked, fat added, not specified subcategory as to fat type. Additional details include collard greens; not specified subcategory as to fat added."
